k,kin_error_link1,kin_error_link2
0,4.8446765862697986e-10,5.0228432955424529e-10
1,1.2692804711707457e-09,5.1747437412621409e-10
2,2.8596174334078634e-09,2.1966360828132134e-08
3,1.9473735335365028e-08,1.7197203604875492e-08
4,3.1958966616596910e-08,1.6419882980213896e-08
5,4.0426240247755150e-08,2.9455730921804350e-08
6,3.6878394955763034e-08,7.4486740871227511e-08
7,3.3515653261264651e-08,3.3930481396518130e-08
8,3.1576256532062581e-08,2.8480347958529306e-08
9,2.8488029910452315e-08,2.7778367256579803e-08
10,2.4394859593786808e-08,2.7072825452375664e-08
11,1.9397398550878984e-08,2.6031657512608459e-08
12,1.4447352028656125e-08,2.4802194249726249e-08
13,1.0562304835211122e-08,2.3664964347551696e-08
14,8.0732822595004725e-09,2.2842177505190329e-08
15,6.7216468290548063e-09,2.2399054686830018e-08
16,6.0468761831898864e-09,2.2269744618776264e-08
17,5.6317803193434158e-09,2.2445010874537100e-08
18,5.5308311913974002e-09,2.4922800492189256e-08
19,1.7675205739225417e-09,1.4927358604791639e-08
